datetime,predicted no3,actual no3
2021-01-04 19:00:00,14.202365,12.5
2021-01-04 19:15:00,14.245388,12.5
2021-01-04 19:30:00,14.249789,12.5
2021-01-04 19:45:00,14.211892,12.6
2021-01-04 20:00:00,14.173651,12.5
2021-01-04 20:15:00,14.211372,12.5
2021-01-04 20:30:00,14.476517,12.6
2021-01-04 20:45:00,14.428596,12.5
2021-01-04 21:00:00,14.463191,12.6
2021-01-04 21:15:00,14.450214,12.5
2021-01-04 21:30:00,14.470185,12.6
2021-01-04 21:45:00,14.452662,12.5
2021-01-04 22:15:00,14.204654,12.6
2021-01-04 22:45:00,14.440122,12.6
2021-01-04 23:00:00,14.421936,12.6
2021-01-04 23:15:00,14.143218,12.5
2021-01-04 23:30:00,14.183265,12.5
2021-01-04 23:45:00,14.349154,12.6
2021-01-05 00:00:00,14.398329,12.6
2021-01-05 00:15:00,14.0650625,12.7
2021-01-05 00:30:00,14.524425,12.7
2021-01-05 00:45:00,14.209369,12.6
2021-01-05 01:00:00,14.387356,12.6
2021-01-05 01:15:00,14.431638,12.7
2021-01-05 01:30:00,14.585885,12.7
2021-01-05 01:45:00,14.243175,12.6
2021-01-05 02:00:00,14.287419,12.6
2021-01-05 02:15:00,14.29182,12.6
2021-01-05 02:30:00,14.422817,12.6
2021-01-05 02:45:00,14.384512,12.6
2021-01-05 03:00:00,14.318854,12.6
2021-01-05 03:15:00,14.385047,12.6
2021-01-05 03:30:00,14.525018,12.6
2021-01-05 03:45:00,14.402472,12.6
2021-01-05 04:00:00,14.08278,12.5
2021-01-05 04:15:00,14.485406,12.6
2021-01-05 04:30:00,14.4083185,12.5
2021-01-05 04:45:00,14.317227,12.6
2021-01-05 05:00:00,14.428931,12.6
2021-01-05 05:15:00,14.248454,12.6
2021-01-05 05:30:00,14.556972,12.5
2021-01-05 05:45:00,14.441381,12.6
2021-01-05 06:00:00,14.481324,12.5
2021-01-05 06:15:00,14.4314,12.5
2021-01-05 06:30:00,14.514408,12.5
2021-01-05 06:45:00,14.329544,12.5
2021-01-05 07:00:00,14.273126,12.6
2021-01-05 07:15:00,14.207059,12.5
2021-01-05 07:30:00,14.281947,12.5
2021-01-05 07:45:00,14.208732,12.5
2021-01-05 08:00:00,14.279179,12.6
2021-01-05 08:15:00,14.291048,12.5
2021-01-05 08:45:00,14.256724,12.4
2021-01-05 09:00:00,14.219969,12.4
2021-01-05 09:15:00,14.248998,12.4
2021-01-05 09:30:00,14.307282,12.4
2021-01-05 09:45:00,14.270608,12.4
2021-01-05 10:00:00,14.299777,12.4
2021-01-05 10:15:00,14.426696,12.5
2021-01-05 10:30:00,14.3919,12.4
2021-01-05 10:45:00,14.356789,12.4
2021-01-05 11:00:00,14.689083,12.4
2021-01-05 11:15:00,14.560686,12.4
2021-01-05 11:30:00,14.333644,12.3
2021-01-05 11:45:00,14.238168,12.3
2021-01-05 12:00:00,14.336274,12.3
2021-01-05 12:15:00,14.604461,12.4
2021-01-05 12:30:00,14.520999,12.4
2021-01-05 13:00:00,14.486713,12.3
2021-01-05 13:15:00,14.295304,12.3
2021-01-05 13:30:00,14.357816,12.3
2021-01-05 13:45:00,14.50759,12.3
2021-01-05 14:00:00,14.31602,12.4
2021-01-05 14:15:00,14.22371,12.3
2021-01-05 14:30:00,14.221213,12.3
2021-01-05 14:45:00,14.392589,12.3
2021-01-05 15:00:00,14.351159,12.3
2021-01-05 15:15:00,14.271251,12.4
2021-01-05 15:30:00,14.228985,12.4
2021-01-05 15:45:00,14.197936,12.4
2021-01-05 16:00:00,14.224917,12.4
2021-01-05 16:15:00,14.468253,12.4
2021-01-05 16:30:00,14.24109,12.4
2021-01-05 16:45:00,14.184183,12.5
2021-01-05 17:00:00,14.313889,12.5
2021-01-05 17:15:00,14.237819,12.5
2021-01-05 17:30:00,14.260743,12.4
2021-01-05 18:15:00,14.12683,12.6
2021-01-05 18:30:00,14.175358,12.4
2021-01-05 18:45:00,14.135902,12.4
2021-01-05 19:00:00,14.092055,12.4
2021-01-05 19:15:00,14.142564,12.4
2021-01-05 19:30:00,14.097369,12.4
2021-01-05 19:45:00,14.160596,12.4
2021-01-05 20:00:00,14.138096,12.4
2021-01-05 20:15:00,14.130608,12.4
2021-01-05 20:30:00,14.172742,12.4
2021-01-05 20:45:00,14.265726,12.4
2021-01-05 21:00:00,14.210696,12.4
2021-01-05 21:15:00,14.228375,12.4
2021-01-05 21:30:00,14.169386,12.5
2021-01-05 21:45:00,14.195706,12.5
2021-01-05 22:00:00,14.154171,12.5
2021-01-05 22:15:00,14.114785,12.4
2021-01-05 22:30:00,14.112827,12.4
2021-01-05 22:45:00,14.140002,12.5
2021-01-05 23:00:00,14.295358,12.5
2021-01-05 23:15:00,14.241353,12.6
2021-01-05 23:30:00,14.205216,12.5
2021-01-05 23:45:00,14.358428,12.6
2021-01-06 00:00:00,14.114121,12.6
2021-01-06 00:15:00,14.004832,12.5
2021-01-06 00:30:00,14.047984,12.6
2021-01-06 00:45:00,14.0440855,12.6
2021-01-06 01:00:00,14.006106,12.5
2021-01-06 01:15:00,14.066684,12.5
2021-01-06 01:30:00,14.046611,12.5
2021-01-06 01:45:00,14.047471,12.5
2021-01-06 02:00:00,14.232768,12.5
2021-01-06 02:15:00,14.042287,12.4
2021-01-06 02:30:00,14.041342,12.4
2021-01-06 02:45:00,14.045761,12.5
2021-01-06 03:00:00,14.049491,12.5
2021-01-06 03:15:00,14.162883,12.5
2021-01-06 03:30:00,14.097167,12.5
2021-01-06 03:45:00,14.132579,12.5
2021-01-06 04:00:00,14.074218,12.5
2021-01-06 04:15:00,14.088002,12.5
2021-01-06 04:30:00,14.107255,12.5
2021-01-06 04:45:00,14.142736,12.5
2021-01-06 05:15:00,14.041334,12.5
2021-01-06 05:30:00,14.126909,12.5
2021-01-06 05:45:00,14.127322,12.5
2021-01-06 06:00:00,14.132441,12.5
2021-01-06 06:15:00,14.123246,12.5
2021-01-06 06:30:00,14.171409,12.5
