datetime,predicted po4,actual po4
2021-01-04 19:00:00,0.26560128,0.16
2021-01-04 19:15:00,0.25962213,0.16
2021-01-04 19:30:00,0.25945392,0.16
2021-01-04 19:45:00,0.26080218,0.16
2021-01-04 20:00:00,0.25961637,0.16
2021-01-04 20:15:00,0.25660896,0.16
2021-01-04 20:30:00,0.25679913,0.16
2021-01-04 20:45:00,0.25053787,0.16
2021-01-04 21:00:00,0.25539777,0.16
2021-01-04 21:15:00,0.25054216,0.16
2021-01-04 21:30:00,0.25441203,0.16
2021-01-04 21:45:00,0.24980363,0.16
2021-01-04 22:15:00,0.25627935,0.16
2021-01-04 22:45:00,0.23726346,0.16
2021-01-04 23:00:00,0.25473532,0.16
2021-01-04 23:15:00,0.25594565,0.16
2021-01-04 23:30:00,0.24378157,0.16
2021-01-04 23:45:00,0.25305498,0.16
2021-01-05 00:00:00,0.25794137,0.16
2021-01-05 00:15:00,0.26726055,0.16
2021-01-05 00:30:00,0.26109317,0.16
2021-01-05 00:45:00,0.2628775,0.16
2021-01-05 01:00:00,0.26272485,0.16
2021-01-05 01:15:00,0.2616803,0.16
2021-01-05 01:30:00,0.25970435,0.16
2021-01-05 01:45:00,0.26251182,0.16
2021-01-05 02:00:00,0.26703277,0.16
2021-01-05 02:15:00,0.2666323,0.16
2021-01-05 02:30:00,0.26363504,0.16
2021-01-05 02:45:00,0.26466405,0.16
2021-01-05 03:00:00,0.26510623,0.16
2021-01-05 03:15:00,0.26437458,0.16
2021-01-05 03:30:00,0.26503783,0.16
2021-01-05 03:45:00,0.26851827,0.16
2021-01-05 04:00:00,0.2722841,0.16
2021-01-05 04:15:00,0.2660616,0.16
2021-01-05 04:30:00,0.26711476,0.16
2021-01-05 04:45:00,0.2660714,0.16
2021-01-05 05:00:00,0.26528507,0.16
2021-01-05 05:15:00,0.26654693,0.16
2021-01-05 05:30:00,0.26252714,0.16
2021-01-05 05:45:00,0.2707609,0.16
2021-01-05 06:00:00,0.26895887,0.16
2021-01-05 06:15:00,0.26778227,0.16
2021-01-05 06:30:00,0.26670635,0.16
2021-01-05 06:45:00,0.2710597,0.16
2021-01-05 07:00:00,0.2727862,0.16
2021-01-05 07:15:00,0.2716924,0.16
2021-01-05 07:30:00,0.27286267,0.16
2021-01-05 07:45:00,0.27299362,0.15
2021-01-05 08:00:00,0.2745345,0.14
2021-01-05 08:15:00,0.2825464,0.15
2021-01-05 08:45:00,0.27667463,0.16
2021-01-05 09:00:00,0.27459085,0.16
2021-01-05 09:15:00,0.27396208,0.16
2021-01-05 09:30:00,0.28505886,0.16
2021-01-05 09:45:00,0.27881512,0.15
2021-01-05 10:00:00,0.28249133,0.14
2021-01-05 10:15:00,0.2728866,0.15
2021-01-05 10:30:00,0.27046677,0.16
2021-01-05 10:45:00,0.2707855,0.15
2021-01-05 11:00:00,0.25006843,0.14
2021-01-05 11:15:00,0.2522825,0.14
2021-01-05 11:30:00,0.27288187,0.14
2021-01-05 11:45:00,0.25421196,0.14
2021-01-05 12:00:00,0.2647736,0.14
2021-01-05 12:15:00,0.25107485,0.14
2021-01-05 12:30:00,0.25620434,0.14
2021-01-05 13:00:00,0.24330077,0.16
